Condition	Gene	total_AMP-T2D-GENES	Mean (95% CI)_AMP-T2D-GENES	prop_AMP-T2D-GENES	Beta (se)_AMP-T2D-GENES_cont	P value_AMP-T2D-GENES_cont	OR_AMP-T2D-GENES	P value_AMP-T2D-GENES_binary	total_UKBB	Mean (95% CI)_UKBB	prop_UKBB	Beta (se)_UKBB_cont	P value_UKBB_cont	OR_UKBB	P value_UKBB_binary
Low LDL (<80 mg/dl)	Non Carrier	19151	123.42   (122.88-123.95)	0.112 (0.108-0.117)	NA	NA	NA	NA	36329	137.21   (136.87-137.55)	0.0315 (0.0297-0.0333)	NA	NA	NA	NA
Low LDL (<80 mg/dl) no lipid meds	APOB	5	51.52   (31.79-71.24)	   1 (0.478-   1)	-72.4 (14.5)	5.61e-07	352 (121-1.02e+03)	1.03e-07	45	72.72   (66.23-79.22)	0.689 (0.534-0.818)	 -69 (4.44)	2.47e-54	779 (427-1.42e+03)	   0
Low LDL (<80 mg/dl) no lipid meds	PCSK9	19	75.27   (61.65-88.90)	0.632 (0.384-0.837)	-44.1 ( 7.4)	2.55e-09	8.44 (4.62-15.4)	0.00222	40	109.44   (101.17-117.70)	0.05 (0.00611-0.169)	-32.6 ( 4.7)	4.38e-12	27.5 (6.83-111)	0.127
Low LDL (<80 mg/dl) no lipid meds	Non Carrier	9490	129.85   (129.11-130.59)	0.0718 (0.0666-0.0771)	NA	NA	NA	NA	28751	142.73   (142.38-143.08)	0.0119 (0.0107-0.0133)	NA	NA	NA	NA
Low LDL ADJ (<80 mg/dl)	APOB	8	51.69   (41.52-61.87)	   1 (0.631-   1)	-79.8 (14.7)	5.91e-08	151 (66.6-344)	5.34e-08	48	72.93   (66.75-79.12)	0.688 (0.537-0.813)	-74.5 (5.12)	6.68e-48	898 (487-1.66e+03)	4.4e-14
Low LDL ADJ (<80 mg/dl)	PCSK9	27	84.50   (71.73-97.27)	0.519 (0.319-0.713)	-48.7 (8.17)	2.62e-09	 11 (5.84-20.6)	0.00224	42	110.78   (102.50-119.06)	0.0476 (0.00582-0.162)	-36.1 (5.42)	2.7e-11	42.5 (11.8-154)	0.0982
Low LDL ADJ (<80 mg/dl)	Non Carrier	19151	135.49   (134.88-136.09)	0.0665 (0.063-0.0701)	NA	NA	NA	NA	36329	147.60   (147.23-147.97)	0.0108 (0.00978-0.0119)	NA	NA	NA	NA
High HDL (>70 mg/dl)	CETP	21	64.06   (55.03-73.09)	0.333 (0.146-0.57)	16.5 (   3)	3.58e-08	5.06 (3.16-8.12)	0.00101	20	76.97   (65.43-88.52)	 0.6 (0.361-0.809)	16.8 ( 2.4)	2.27e-12	5.08 (3.04-8.47)	0.000455
High HDL (>70 mg/dl)	Non Carrier	28974	49.34   (49.17-49.52)	0.0938 (0.0904-0.0972)	NA	NA	NA	NA	34541	57.25   (57.10-57.41)	0.187 (0.183-0.192)	NA	NA	NA	NA
High triglycerides (>200 mg/dl)	APOA5	15	271.66   (188.38-354.95)	0.533 (0.266-0.787)	0.566 (0.135)	2.7e-05	4.52 (2.64-7.75)	0.00489	38	286.09   (222.39-349.78)	0.526 (0.358-0.69)	0.592 (0.0784)	4.42e-14	5.2 (3.74-7.25)	1.12e-06
High triglycerides (>200 mg/dl)	LPL	5	291.19   (18.99-563.39)	 0.6 (0.147-0.947)	0.49 (0.234)	0.0359	4.73 (1.84-12.2)	0.0758	16	227.73   (164.71-290.76)	 0.5 (0.247-0.753)	0.411 (0.121)	0.000678	4.23 (2.54-7.06)	0.00504
High triglycerides (>200 mg/dl)	Non Carrier	29635	159.07   (157.70-160.45)	0.229 (0.224-0.233)	NA	NA	NA	NA	36376	150.43   (149.54-151.31)	0.203 (0.199-0.207)	NA	NA	NA	NA
High triglycerides (>200 mg/dl) no lipid meds	APOA5	6	236.01   (67.33-404.69)	0.333 (0.0433-0.777)	0.547 (0.157)	0.000515	5.16 (2.77-9.6)	0.00723	28	311.70   (228.43-394.97)	0.536 (0.339-0.725)	0.585 (0.0783)	8.32e-14	5.07 (3.64-7.06)	1.71e-06
High triglycerides (>200 mg/dl) no lipid meds	LPL	2	187.57   (-338.84-713.98)	 0.5 (0.0126-0.987)	0.467 (0.233)	0.0452	4.22 (1.66-10.8)	0.0949	13	216.99   (145.57-288.41)	0.462 (0.192-0.749)	0.414 (0.121)	0.000613	4.31 (2.58-7.22)	0.00481
High triglycerides (>200 mg/dl) no lipid meds	Non Carrier	14921	150.69   (149.03-152.35)	0.204 (0.198-0.211)	NA	NA	NA	NA	28801	144.72   (143.77-145.67)	0.181 (0.177-0.186)	NA	NA	NA	NA
High triglycerides ADJ (>200 mg/dl)	APOA5	15	287.93   (202.03-373.83)	0.533 (0.266-0.787)	0.575 (0.137)	2.6e-05	3.74 (2.18-6.41)	0.0131	38	296.04   (232.70-359.38)	0.553 (0.383-0.714)	0.607 (0.0796)	2.44e-14	5.14 (3.68-7.18)	1.14e-06
High triglycerides ADJ (>200 mg/dl)	LPL	5	329.34   (-0.46-659.14)	 0.6 (0.147-0.947)	0.53 (0.237)	0.0253	3.8 (1.48-9.77)	0.124	16	236.81   (169.10-304.52)	0.562 (0.299-0.802)	0.406 (0.123)	0.000943	4.66 (2.78-7.79)	0.00243
High triglycerides ADJ (>200 mg/dl)	Non Carrier	29635	165.91   (164.45-167.37)	0.253 (0.248-0.258)	NA	NA	NA	NA	36376	156.76   (155.80-157.71)	0.226 (0.222-0.231)	NA	NA	NA	NA
Monogenic obesity (BMI >30)	MC4R	28	30.37   (28.66-32.09)	0.536 (0.339-0.725)	0.0609 (0.0328)	0.0633	2.27 (1.51-3.39)	0.0391	31	29.75   (28.14-31.36)	0.419 (0.245-0.609)	0.0788 (0.0288)	0.00633	2.3 (1.59-3.34)	0.0279
Monogenic obesity (BMI >30)	Non Carrier	37795	28.35   (28.30-28.41)	0.317 (0.312-0.321)	NA	NA	NA	NA	38419	27.36   (27.31-27.41)	0.238 (0.234-0.242)	NA	NA	NA	NA
MODY (T2D)	GCK	7	NA	   1 (0.59-   1)	NA	NA	34.7 (5.96-202)	0.00143	10	NA	 0.7 (0.348-0.933)	NA	NA	40.5 (20.3-80.7)	3.08e-08
MODY (T2D)	HNF1A	11	NA	0.818 (0.482-0.977)	NA	NA	4.82 (2.23-10.4)	0.0172	5	NA	 0.4 (0.0527-0.853)	NA	NA	8.96 (3.51-22.9)	0.0232
MODY (T2D)	HNF1B	1	NA	   0 (   0-0.975)	NA	NA	0.397 (0.0394-  4)	0.547	NA	NA	NA	NA	NA	NA	NA
MODY (T2D)	HNF4A	1	NA	   1 (0.025-   1)	NA	NA	3.81 (0.378-38.4)	0.374	NA	NA	NA	NA	NA	NA	NA
MODY (T2D)	PDX1	2	NA	   1 (0.158-   1)	NA	NA	5.62 (0.843-37.5)	0.192	1	NA	   0 (   0-0.975)	NA	NA	5.61 (0.557-56.6)	0.37
MODY (T2D)	Non Carrier	38596	NA	0.485 (0.48-0.49)	NA	NA	NA	NA	38550	NA	0.0682 (0.0658-0.0708)	NA	NA	NA	NA
MODY (T2D and pre-diabetes)	GCK	7	NA	   1 (0.59-   1)	NA	NA	17.3 (3.29-90.8)	0.00852	10	NA	   1 (0.692-   1)	NA	NA	132 (28.7-611)	1.36e-09
MODY (T2D and pre-diabetes)	HNF1A	11	NA	0.818 (0.482-0.977)	NA	NA	3.08 (1.45-6.54)	0.0897	5	NA	 0.6 (0.147-0.947)	NA	NA	5.05 (1.98-12.9)	0.0612
MODY (T2D and pre-diabetes)	HNF1B	1	NA	   0 (   0-0.975)	NA	NA	0.322 (0.0319-3.24)	0.455	NA	NA	NA	NA	NA	NA	NA
MODY (T2D and pre-diabetes)	HNF4A	1	NA	   1 (0.025-   1)	NA	NA	2.19 (0.217- 22)	0.612	NA	NA	NA	NA	NA	NA	NA
MODY (T2D and pre-diabetes)	PDX1	2	NA	   1 (0.158-   1)	NA	NA	3.11 (0.465-20.8)	0.413	1	NA	   0 (   0-0.975)	NA	NA	3.28 (0.325- 33)	0.515
MODY (T2D and pre-diabetes)	Non Carrier	38596	NA	0.592 (0.587-0.597)	NA	NA	NA	NA	38550	NA	0.186 (0.182-0.19)	NA	NA	NA	NA
MODY extended (T2D)	ABCC8	1	NA	   1 (0.025-   1)	NA	NA	3.31 (0.328-33.3)	0.429	NA	NA	NA	NA	NA	NA	NA
MODY extended (T2D)	GCK	7	NA	   1 (0.59-   1)	NA	NA	34.7 (5.96-202)	0.00143	10	NA	 0.7 (0.348-0.933)	NA	NA	40.5 (20.3-80.7)	3.08e-08
MODY extended (T2D)	HNF1A	11	NA	0.818 (0.482-0.977)	NA	NA	4.82 (2.23-10.4)	0.0172	5	NA	 0.4 (0.0527-0.853)	NA	NA	8.96 (3.51-22.9)	0.0232
MODY extended (T2D)	HNF1B	1	NA	   0 (   0-0.975)	NA	NA	0.397 (0.0394-  4)	0.547	NA	NA	NA	NA	NA	NA	NA
MODY extended (T2D)	HNF4A	1	NA	   1 (0.025-   1)	NA	NA	3.81 (0.378-38.4)	0.374	NA	NA	NA	NA	NA	NA	NA
MODY extended (T2D)	INS	1	NA	   1 (0.025-   1)	NA	NA	2.29 (0.227-23.1)	0.591	NA	NA	NA	NA	NA	NA	NA
MODY extended (T2D)	PDX1	2	NA	   1 (0.158-   1)	NA	NA	5.62 (0.843-37.5)	0.192	1	NA	   0 (   0-0.975)	NA	NA	5.61 (0.557-56.6)	0.37
MODY extended (T2D)	Non Carrier	38594	NA	0.485 (0.48-0.49)	NA	NA	NA	NA	38550	NA	0.0682 (0.0658-0.0708)	NA	NA	NA	NA
MODY extended (T2D and pre-diabetes)	ABCC8	1	NA	   1 (0.025-   1)	NA	NA	1.83 (0.182-18.5)	0.698	NA	NA	NA	NA	NA	NA	NA
MODY extended (T2D and pre-diabetes)	GCK	7	NA	   1 (0.59-   1)	NA	NA	17.3 (3.29-90.8)	0.00852	10	NA	   1 (0.692-   1)	NA	NA	132 (28.7-611)	1.36e-09
MODY extended (T2D and pre-diabetes)	HNF1A	11	NA	0.818 (0.482-0.977)	NA	NA	3.08 (1.45-6.54)	0.0897	5	NA	 0.6 (0.147-0.947)	NA	NA	5.05 (1.98-12.9)	0.0612
MODY extended (T2D and pre-diabetes)	HNF1B	1	NA	   0 (   0-0.975)	NA	NA	0.322 (0.0319-3.24)	0.455	NA	NA	NA	NA	NA	NA	NA
MODY extended (T2D and pre-diabetes)	HNF4A	1	NA	   1 (0.025-   1)	NA	NA	2.19 (0.217- 22)	0.612	NA	NA	NA	NA	NA	NA	NA
MODY extended (T2D and pre-diabetes)	INS	1	NA	   1 (0.025-   1)	NA	NA	0.922 (0.0915-9.3)	0.961	NA	NA	NA	NA	NA	NA	NA
MODY extended (T2D and pre-diabetes)	PDX1	2	NA	   1 (0.158-   1)	NA	NA	3.11 (0.465-20.8)	0.413	1	NA	   0 (   0-0.975)	NA	NA	3.28 (0.325- 33)	0.515
MODY extended (T2D and pre-diabetes)	Non Carrier	38594	NA	0.592 (0.587-0.597)	NA	NA	NA	NA	38550	NA	0.186 (0.182-0.19)	NA	NA	NA	NA
Lipodystrophy (T2D)	LMNA	2	NA	   0 (   0-0.842)	NA	NA	0.419 (0.0546-3.21)	0.565	4	NA	   0 (   0-0.602)	NA	NA	1.41 (0.258-7.73)	0.827
Lipodystrophy (T2D)	PPARG	6	NA	0.833 (0.359-0.996)	NA	NA	4.65 (1.71-12.6)	0.0645	3	NA	   0 (   0-0.708)	NA	NA	2.58 (0.43-15.5)	0.581
Lipodystrophy (T2D)	Non Carrier	38610	NA	0.485 (0.48-0.49)	NA	NA	NA	NA	38559	NA	0.0685 (0.066-0.071)	NA	NA	NA	NA
Lipodystrophy (T2D and pre-diabetes)	LMNA	2	NA	   0 (   0-0.842)	NA	NA	0.33 (0.0477-2.28)	0.434	4	NA	0.25 (0.00631-0.806)	NA	NA	1.79 (0.583-5.52)	0.578
Lipodystrophy (T2D and pre-diabetes)	PPARG	6	NA	0.833 (0.359-0.996)	NA	NA	2.93 (1.08-7.97)	0.207	3	NA	   0 (   0-0.708)	NA	NA	0.932 (0.158-5.48)	0.963
Lipodystrophy (T2D and pre-diabetes)	Non Carrier	38610	NA	0.592 (0.587-0.597)	NA	NA	NA	NA	38559	NA	0.186 (0.182-0.19)	NA	NA	NA	NA
Neonatal diabetes (T2D)	ABCC8	1	NA	   1 (0.025-   1)	NA	NA	3.31 (0.328-33.3)	0.429	NA	NA	NA	NA	NA	NA	NA
Neonatal diabetes (T2D)	HNF1B	1	NA	   0 (   0-0.975)	NA	NA	0.397 (0.0394-  4)	0.547	NA	NA	NA	NA	NA	NA	NA
Neonatal diabetes (T2D)	INS	1	NA	   1 (0.025-   1)	NA	NA	2.29 (0.227-23.1)	0.591	NA	NA	NA	NA	NA	NA	NA
Neonatal diabetes (T2D)	Non Carrier	38615	NA	0.485 (0.48-0.49)	NA	NA	NA	NA	38566	NA	0.0685 (0.066-0.071)	NA	NA	NA	NA
Neonatal diabetes (T2D and pre-diabetes)	ABCC8	1	NA	   1 (0.025-   1)	NA	NA	1.83 (0.182-18.5)	0.698	NA	NA	NA	NA	NA	NA	NA
Neonatal diabetes (T2D and pre-diabetes)	HNF1B	1	NA	   0 (   0-0.975)	NA	NA	0.322 (0.0319-3.24)	0.455	NA	NA	NA	NA	NA	NA	NA
Neonatal diabetes (T2D and pre-diabetes)	INS	1	NA	   1 (0.025-   1)	NA	NA	0.922 (0.0915-9.3)	0.961	NA	NA	NA	NA	NA	NA	NA
Neonatal diabetes (T2D and pre-diabetes)	Non Carrier	38615	NA	0.592 (0.587-0.597)	NA	NA	NA	NA	38566	NA	0.186 (0.182-0.19)	NA	NA	NA	NA
NA	APOB	4	NA	0.25 (0.00631-0.806)	NA	NA	8.4 (4.53-15.6)	0.000681	13	NA	0.462 (0.192-0.749)	NA	NA	7.56 (4.96-11.5)	2.03e-06
NA	LDLR	12	NA	 0.5 (0.211-0.789)	NA	NA	6.26 (4.17-9.39)	8.21e-06	11	NA	0.364 (0.109-0.692)	NA	NA	2.93 (2.21-3.88)	0.000184
NA	Non Carrier	9498	NA	0.0546 (0.0502-0.0594)	NA	NA	NA	NA	28812	NA	0.0684 (0.0656-0.0714)	NA	NA	NA	NA
NA	APOB	5	NA	   1 (0.478-   1)	NA	NA	142 (52.7-382)	3.04e-06	45	NA	0.689 (0.534-0.818)	NA	NA	741 (403-1.36e+03)	1.35e-13
NA	PCSK9	19	NA	0.632 (0.384-0.837)	NA	NA	8.65 (4.51-16.6)	0.00562	40	NA	0.05 (0.00611-0.169)	NA	NA	36.5 (10.1-131)	0.107
NA	Non Carrier	9490	NA	0.0718 (0.0666-0.0771)	NA	NA	NA	NA	28751	NA	0.0119 (0.0107-0.0133)	NA	NA	NA	NA
NA	APOA5	6	NA	0.333 (0.0433-0.777)	NA	NA	  4 (2.12-7.53)	0.0246	28	NA	0.536 (0.339-0.725)	NA	NA	4.92 (3.51-6.9)	2.93e-06
NA	LPL	2	NA	 0.5 (0.0126-0.987)	NA	NA	3.02 (1.19-7.64)	0.193	13	NA	0.462 (0.192-0.749)	NA	NA	5.07 (  3-8.58)	0.00182
NA	Non Carrier	14921	NA	0.204 (0.198-0.211)	NA	NA	NA	NA	28801	NA	0.181 (0.177-0.186)	NA	NA	NA	NA
