Condition	Gene	total_AMP-T2D-GENES	Mean (95% CI)_AMP-T2D-GENES	prop_AMP-T2D-GENES	Beta (se)_AMP-T2D-GENES_cont	P value_AMP-T2D-GENES_cont	OR_AMP-T2D-GENES	P value_AMP-T2D-GENES_binary	total_UKBB	Mean (95% CI)_UKBB	prop_UKBB	Beta (se)_UKBB_cont	P value_UKBB_cont	OR_UKBB	P value_UKBB_binary
Low LDL (<80 mg/dl)	PCSK9	17	111.78   (93.58-129.98)	0.0588 (0.00149-0.287)	-9.83 (8.77)	0.262	1.69 (0.652-4.4)	0.587	38	106.52   (97.07-115.97)	0.211 (0.0955-0.373)	-31.9 (5.25)	1.19e-09	16.2 (3.78-69.5)	0.179
Low LDL (<80 mg/dl)	Non Carrier	19167	123.33   (122.79-123.86)	0.113 (0.109-0.118)	NA	NA	NA	NA	36380	137.12   (136.78-137.46)	0.0322 (0.0304-0.0341)	NA	NA	NA	NA
Low LDL (<80 mg/dl) no lipid meds	APOB	1	146.95   (NaN-NaN)	   0 (   0-0.975)	48.8 (25.1)	0.0517	10.4 (1.43-75.3)	0.253	1	55.61   (NaN-NaN)	   1 (0.025-   1)	-81.5 (30.8)	0.00821	2.12e+03 (188-2.4e+04)	0.0117
Low LDL (<80 mg/dl) no lipid meds	PCSK9	5	93.68   (44.19-143.16)	 0.2 (0.00505-0.716)	-8.64 (11.4)	0.448	1.95 (0.729-5.2)	0.504	34	107.50   (97.60-117.39)	0.206 (0.087-0.379)	-34.8 (   5)	3.54e-12	13.3 (2.65-66.6)	0.209
Low LDL (<80 mg/dl) no lipid meds	Non Carrier	9508	129.72   (128.98-130.46)	0.0733 (0.0681-0.0787)	NA	NA	NA	NA	28801	142.62   (142.26-142.97)	0.0128 (0.0115-0.0141)	NA	NA	NA	NA
Low LDL ADJ (<80 mg/dl)	APOB	2	216.17   (-663.35-1095.68)	   0 (   0-0.842)	81.3 (29.5)	0.00577	15.1 (2.01-114)	0.202	1	55.61   (NaN-NaN)	   1 (0.025-   1)	-82.2 (35.5)	0.0207	2.87e+03 (211-3.89e+04)	0.0125
Low LDL ADJ (<80 mg/dl)	PCSK9	17	127.31   (101.93-152.69)	0.0588 (0.00149-0.287)	-9.53 (10.2)	0.35	2.41 (0.934-6.2)	0.383	38	110.95   (100.42-121.48)	0.211 (0.0955-0.373)	-38.1 (5.76)	3.66e-11	67.3 (18.2-249)	0.0749
Low LDL ADJ (<80 mg/dl)	Non Carrier	19167	135.38   (134.77-135.99)	0.0675 (0.064-0.0712)	NA	NA	NA	NA	36380	147.50   (147.13-147.87)	0.0115 (0.0104-0.0127)	NA	NA	NA	NA
High HDL (>70 mg/dl)	CETP	14	66.38   (49.32-83.45)	0.286 (0.0839-0.581)	17.4 (3.67)	2.08e-06	2.99 (1.65-5.41)	0.0696	15	74.09   (65.01-83.17)	 0.6 (0.323-0.837)	  18 (3.45)	1.74e-07	9.56 (4.91-18.6)	0.000101
High HDL (>70 mg/dl)	Non Carrier	28981	49.35   (49.17-49.53)	0.0939 (0.0905-0.0973)	NA	NA	NA	NA	34546	57.26   (57.10-57.42)	0.188 (0.183-0.192)	NA	NA	NA	NA
High triglycerides (>200 mg/dl)	APOA5	7	225.70   (111.05-340.36)	0.429 (0.099-0.816)	NA	NA	NA	NA	8	213.72   (86.54-340.89)	0.375 (0.0852-0.755)	0.908 (0.484)	0.0604	8.91 (0.885-89.8)	0.14
High triglycerides (>200 mg/dl)	LPL	5260	138.18   (135.71-140.66)	0.163 (0.153-0.173)	-0.0893 (0.00738)	1.35e-33	0.705 (0.678-0.734)	   0	6912	137.37   (135.63-139.11)	0.155 (0.147-0.164)	-0.0925 (0.00592)	6.94e-55	0.686 (0.663-0.71)	   0
High triglycerides (>200 mg/dl)	Non Carrier	24388	163.66   (162.07-165.24)	0.243 (0.238-0.248)	NA	NA	NA	NA	29510	153.69   (152.67-154.70)	0.214 (0.21-0.219)	NA	NA	NA	NA
High triglycerides (>200 mg/dl) no lipid meds	APOA5	3	232.00   (-253.70-717.69)	0.333 (0.0084-0.906)	NA	NA	NA	NA	6	223.36   (36.25-410.47)	0.333 (0.0433-0.777)	0.908 (0.483)	0.0601	8.84 (0.878-89.1)	0.142
High triglycerides (>200 mg/dl) no lipid meds	LPL	2793	135.68   (132.48-138.88)	0.155 (0.142-0.169)	-0.0843 (0.00833)	4.8e-24	0.724 (0.693-0.757)	5.01e-14	5526	132.33   (130.48-134.18)	0.137 (0.128-0.146)	-0.0919 (0.00591)	1.86e-54	0.687 (0.664-0.711)	   0
High triglycerides (>200 mg/dl) no lipid meds	Non Carrier	12133	154.17   (152.27-156.07)	0.216 (0.209-0.223)	NA	NA	NA	NA	23310	147.88   (146.79-148.96)	0.192 (0.187-0.198)	NA	NA	NA	NA
High triglycerides ADJ (>200 mg/dl)	APOA5	7	239.73   (116.35-363.10)	0.429 (0.099-0.816)	NA	NA	NA	NA	8	221.87   (95.43-348.31)	0.375 (0.0852-0.755)	0.91 (0.491)	0.0639	9.27 (0.92-93.3)	0.133
High triglycerides ADJ (>200 mg/dl)	LPL	5260	144.62   (141.99-147.24)	0.183 (0.172-0.193)	-0.0903 (0.00748)	1.78e-33	0.692 (0.667-0.719)	   0	6912	142.94   (141.06-144.82)	0.177 (0.168-0.186)	-0.0936 (0.00601)	1.55e-54	0.691 (0.669-0.714)	   0
High triglycerides ADJ (>200 mg/dl)	Non Carrier	24388	170.59   (168.91-172.27)	0.269 (0.263-0.274)	NA	NA	NA	NA	29510	160.19   (159.11-161.28)	0.239 (0.234-0.244)	NA	NA	NA	NA
Monogenic obesity (BMI >30)	Non Carrier	37823	28.35   (28.30-28.41)	0.317 (0.312-0.322)	NA	NA	NA	NA	38450	27.36   (27.31-27.41)	0.238 (0.234-0.243)	NA	NA	NA	NA
MODY (T2D)	GCK	4	NA	   1 (0.398-   1)	NA	NA	7.92 (1.38-45.4)	0.088	2	NA	   1 (0.158-   1)	NA	NA	94.8 (14.2-632)	0.000452
MODY (T2D)	HNF1A	4	NA	0.25 (0.00631-0.806)	NA	NA	0.185 (0.0292-1.17)	 0.2	5	NA	   0 (   0-0.522)	NA	NA	1.14 (0.221-5.89)	0.931
MODY (T2D)	HNF1B	3	NA	   1 (0.292-   1)	NA	NA	6.14 (1.06-35.6)	0.145	7	NA	   0 (   0-0.41)	NA	NA	0.764 (0.159-3.67)	0.849
MODY (T2D)	HNF4A	1	NA	   1 (0.025-   1)	NA	NA	2.54 (0.252-25.6)	0.544	5	NA	 0.2 (0.00505-0.716)	NA	NA	2.73 (0.409-18.3)	0.563
MODY (T2D)	PDX1	113	NA	0.496 ( 0.4-0.591)	NA	NA	1.16 (0.952-1.42)	0.449	609	NA	0.0722 (0.053-0.0958)	NA	NA	1.09 (0.936-1.28)	0.569
MODY (T2D)	Non Carrier	38493	NA	0.485 (0.48-0.49)	NA	NA	NA	NA	37938	NA	0.0683 (0.0658-0.0709)	NA	NA	NA	NA
MODY (T2D and pre-diabetes)	GCK	4	NA	   1 (0.398-   1)	NA	NA	5.94 (1.04-34.1)	0.151	2	NA	   1 (0.158-   1)	NA	NA	39.9 (5.76-276)	0.00462
MODY (T2D and pre-diabetes)	HNF1A	4	NA	0.25 (0.00631-0.806)	NA	NA	0.124 (0.0202-0.762)	0.101	5	NA	 0.4 (0.0527-0.853)	NA	NA	2.52 (  1-6.32)	0.291
MODY (T2D and pre-diabetes)	HNF1B	3	NA	   1 (0.292-   1)	NA	NA	3.21 (0.553-18.6)	0.38	7	NA	   0 (   0-0.41)	NA	NA	0.243 (0.05-1.18)	0.238
MODY (T2D and pre-diabetes)	HNF4A	1	NA	   1 (0.025-   1)	NA	NA	1.92 (0.19-19.3)	0.676	5	NA	 0.4 (0.0527-0.853)	NA	NA	1.06 (0.155-7.18)	0.972
MODY (T2D and pre-diabetes)	PDX1	113	NA	0.628 (0.532-0.717)	NA	NA	1.23 (0.99-1.52)	0.335	609	NA	0.204 (0.172-0.238)	NA	NA	1.16 (1.05-1.29)	0.143
MODY (T2D and pre-diabetes)	Non Carrier	38493	NA	0.592 (0.587-0.597)	NA	NA	NA	NA	37938	NA	0.186 (0.182-0.19)	NA	NA	NA	NA
MODY extended (T2D)	GCK	4	NA	   1 (0.398-   1)	NA	NA	7.92 (1.38-45.4)	0.088	2	NA	   1 (0.158-   1)	NA	NA	94.8 (14.2-632)	0.000452
MODY extended (T2D)	HNF1A	4	NA	0.25 (0.00631-0.806)	NA	NA	0.185 (0.0292-1.17)	 0.2	5	NA	   0 (   0-0.522)	NA	NA	1.14 (0.221-5.89)	0.931
MODY extended (T2D)	HNF1B	3	NA	   1 (0.292-   1)	NA	NA	6.14 (1.06-35.6)	0.145	7	NA	   0 (   0-0.41)	NA	NA	0.764 (0.159-3.67)	0.849
MODY extended (T2D)	HNF4A	1	NA	   1 (0.025-   1)	NA	NA	2.54 (0.252-25.6)	0.544	5	NA	 0.2 (0.00505-0.716)	NA	NA	2.73 (0.409-18.3)	0.563
MODY extended (T2D)	PDX1	113	NA	0.496 ( 0.4-0.591)	NA	NA	1.16 (0.952-1.42)	0.449	609	NA	0.0722 (0.053-0.0958)	NA	NA	1.09 (0.936-1.28)	0.569
MODY extended (T2D)	Non Carrier	38493	NA	0.485 (0.48-0.49)	NA	NA	NA	NA	37932	NA	0.0683 (0.0658-0.0709)	NA	NA	NA	NA
MODY extended (T2D)	INS	NA	NA	NA	NA	NA	NA	NA	6	NA	0.167 (0.00421-0.641)	NA	NA	4.39 (1.58-12.2)	0.173
MODY extended (T2D and pre-diabetes)	GCK	4	NA	   1 (0.398-   1)	NA	NA	5.94 (1.04-34.1)	0.151	2	NA	   1 (0.158-   1)	NA	NA	39.9 (5.76-276)	0.00462
MODY extended (T2D and pre-diabetes)	HNF1A	4	NA	0.25 (0.00631-0.806)	NA	NA	0.124 (0.0202-0.762)	0.101	5	NA	 0.4 (0.0527-0.853)	NA	NA	2.52 (  1-6.32)	0.291
MODY extended (T2D and pre-diabetes)	HNF1B	3	NA	   1 (0.292-   1)	NA	NA	3.21 (0.553-18.6)	0.38	7	NA	   0 (   0-0.41)	NA	NA	0.243 (0.05-1.18)	0.238
MODY extended (T2D and pre-diabetes)	HNF4A	1	NA	   1 (0.025-   1)	NA	NA	1.92 (0.19-19.3)	0.676	5	NA	 0.4 (0.0527-0.853)	NA	NA	1.06 (0.155-7.18)	0.972
MODY extended (T2D and pre-diabetes)	PDX1	113	NA	0.628 (0.532-0.717)	NA	NA	1.23 (0.99-1.52)	0.335	609	NA	0.204 (0.172-0.238)	NA	NA	1.16 (1.05-1.29)	0.143
MODY extended (T2D and pre-diabetes)	Non Carrier	38493	NA	0.592 (0.587-0.597)	NA	NA	NA	NA	37932	NA	0.186 (0.182-0.19)	NA	NA	NA	NA
MODY extended (T2D and pre-diabetes)	INS	NA	NA	NA	NA	NA	NA	NA	6	NA	 0.5 (0.118-0.882)	NA	NA	5.41 (2.31-12.7)	0.0413
Lipodystrophy (T2D)	LMNA	19	NA	0.368 (0.163-0.616)	NA	NA	0.655 (0.4-1.07)	0.373	12	NA	0.0833 (0.00211-0.385)	NA	NA	2.1 (0.843-5.24)	0.439
Lipodystrophy (T2D)	PPARG	1	NA	   1 (0.025-   1)	NA	NA	2.77 (0.275-27.9)	0.505	NA	NA	NA	NA	NA	NA	NA
Lipodystrophy (T2D)	Non Carrier	38598	NA	0.485 (0.48-0.49)	NA	NA	NA	NA	38554	NA	0.0684 (0.0659-0.071)	NA	NA	NA	NA
Lipodystrophy (T2D and pre-diabetes)	LMNA	19	NA	0.474 (0.244-0.711)	NA	NA	0.709 (0.431-1.17)	0.478	12	NA	0.167 (0.0209-0.484)	NA	NA	1.29 (0.612-2.71)	0.73
Lipodystrophy (T2D and pre-diabetes)	PPARG	1	NA	   1 (0.025-   1)	NA	NA	2.34 (0.233-23.6)	0.58	NA	NA	NA	NA	NA	NA	NA
Lipodystrophy (T2D and pre-diabetes)	Non Carrier	38598	NA	0.592 (0.587-0.597)	NA	NA	NA	NA	38554	NA	0.186 (0.182-0.19)	NA	NA	NA	NA
Neonatal diabetes (T2D)	HNF1B	3	NA	   1 (0.292-   1)	NA	NA	6.14 (1.06-35.6)	0.145	7	NA	   0 (   0-0.41)	NA	NA	0.764 (0.159-3.67)	0.849
Neonatal diabetes (T2D)	Non Carrier	38615	NA	0.485 (0.48-0.49)	NA	NA	NA	NA	38553	NA	0.0685 (0.066-0.071)	NA	NA	NA	NA
Neonatal diabetes (T2D)	INS	NA	NA	NA	NA	NA	NA	NA	6	NA	0.167 (0.00421-0.641)	NA	NA	4.39 (1.58-12.2)	0.173
Neonatal diabetes (T2D and pre-diabetes)	HNF1B	3	NA	   1 (0.292-   1)	NA	NA	3.21 (0.553-18.6)	0.38	7	NA	   0 (   0-0.41)	NA	NA	0.243 (0.05-1.18)	0.238
Neonatal diabetes (T2D and pre-diabetes)	Non Carrier	38615	NA	0.592 (0.587-0.597)	NA	NA	NA	NA	38553	NA	0.186 (0.182-0.19)	NA	NA	NA	NA
Neonatal diabetes (T2D and pre-diabetes)	INS	NA	NA	NA	NA	NA	NA	NA	6	NA	 0.5 (0.118-0.882)	NA	NA	5.41 (2.31-12.7)	0.0413
NA	LDLR	1284	NA	0.0787 (0.0645-0.0948)	NA	NA	1.08 (0.995-1.17)	0.355	3923	NA	0.0732 (0.0652-0.0818)	NA	NA	1.01 (0.966-1.06)	0.783
NA	PCSK9	10	NA	 0.1 (0.00253-0.445)	NA	NA	 NA ( NA- NA)	  NA	12	NA	0.0833 (0.00211-0.385)	NA	NA	NA	NA
NA	Non Carrier	8220	NA	0.0516 (0.0469-0.0566)	NA	NA	NA	NA	24901	NA	0.068 (0.0649-0.0712)	NA	NA	NA	NA
NA	APOB	1	NA	   0 (   0-0.975)	NA	NA	12.4 (1.38-112)	0.237	1	NA	   1 (0.025-   1)	NA	NA	2.93e+03 (217-3.95e+04)	0.0124
NA	PCSK9	5	NA	 0.2 (0.00505-0.716)	NA	NA	2.9 (1.06-7.97)	0.318	34	NA	0.206 (0.087-0.379)	NA	NA	64.3 (17.4-237)	0.0775
NA	Non Carrier	9508	NA	0.0733 (0.0681-0.0787)	NA	NA	NA	NA	28801	NA	0.0128 (0.0115-0.0141)	NA	NA	NA	NA
NA	APOA5	3	NA	0.333 (0.0084-0.906)	NA	NA	NA	NA	6	NA	0.333 (0.0433-0.777)	NA	NA	9.05 (0.899-91.2)	0.137
NA	LPL	2793	NA	0.155 (0.142-0.169)	NA	NA	0.704 (0.674-0.734)	   0	5526	NA	0.137 (0.128-0.146)	NA	NA	0.689 (0.667-0.713)	   0
NA	Non Carrier	12133	NA	0.216 (0.209-0.223)	NA	NA	NA	NA	23310	NA	0.192 (0.187-0.198)	NA	NA	NA	NA
