Condition	Restricted no lipid medications	total_Non Carrier_AMP-T2D-GENES	Mean (95% CI) Non Carrier_AMP-T2D-GENES	count_Non Carrier_AMP-T2D-GENES	prop_Non Carrier_AMP-T2D-GENES	total_Carrier_AMP-T2D-GENES	Mean (95% CI) Carrier_AMP-T2D-GENES	count_Carrier_AMP-T2D-GENES	prop_Carrier_AMP-T2D-GENES	Beta (se)_AMP-T2D-GENES_cont	P value_AMP-T2D-GENES_cont	Beta (se)_AMP-T2D-GENES_binary	P value_AMP-T2D-GENES_binary	OR_AMP-T2D-GENES	total_Non Carrier_UKBB	Mean (95% CI) Non Carrier_UKBB	count_Non Carrier_UKBB	prop_Non Carrier_UKBB	total_Carrier_UKBB	Mean (95% CI) Carrier_UKBB	count_Carrier_UKBB	prop_Carrier_UKBB	Beta (se)_UKBB_cont	P value_UKBB_cont	Beta (se)_UKBB_binary	P value_UKBB_binary	OR_UKBB
Monogenic obesity (BMI >30)		37795	28.35   (28.30-28.41)	11971	0.317 (0.312-0.321)	28	30.37   (28.66-32.09)	15	0.536 (0.339-0.725)	0.0609 (0.0328)	0.0633	0.818 (0.404)	0.0391	2.27 (1.51-3.39)	38419	27.36   (27.31-27.41)	9151	0.238 (0.234-0.242)	31	29.75   (28.14-31.36)	13	0.419 (0.245-0.609)	0.0788 (0.0288)	0.00633	0.834 (0.372)	0.0279	2.3 (1.59-3.34)
MODY (T2D)		38596	NA	18720	0.485 (0.48-0.49)	22	NA	19	0.864 (0.651-0.971)	NA	NA	2.04 (0.625)	6.7e-05	7.69 (4.12-14.4)	38550	NA	2631	0.0682 (0.0658-0.0708)	16	NA	9	0.562 (0.299-0.802)	NA	NA	3.04 (0.516)	2.57e-08	 21 (12.5-35.2)
MODY (T2D and pre-diabetes)		38596	NA	22856	0.592 (0.587-0.597)	22	NA	19	0.864 (0.651-0.971)	NA	NA	1.56 (0.61)	0.00249	4.75 (2.58-8.74)	38550	NA	7173	0.186 (0.182-0.19)	16	NA	13	0.812 (0.544-0.96)	NA	NA	3.07 (0.63)	9.09e-09	21.5 (11.5-40.4)
MODY extended (T2D)		38594	NA	18718	0.485 (0.48-0.49)	24	NA	21	0.875 (0.676-0.973)	NA	NA	2.12 (0.617)	2.15e-05	8.29 (4.47-15.4)	38550	NA	2631	0.0682 (0.0658-0.0708)	16	NA	9	0.562 (0.299-0.802)	NA	NA	3.04 (0.516)	2.57e-08	 21 (12.5-35.2)
MODY extended (T2D and pre-diabetes)		38594	NA	22854	0.592 (0.587-0.597)	24	NA	21	0.875 (0.676-0.973)	NA	NA	1.62 (0.604)	0.00136	5.04 (2.75-9.22)	38550	NA	7173	0.186 (0.182-0.19)	16	NA	13	0.812 (0.544-0.96)	NA	NA	3.07 (0.63)	9.09e-09	21.5 (11.5-40.4)
Lipodystrophy (T2D)		38610	NA	18734	0.485 (0.48-0.49)	8	NA	5	0.625 (0.245-0.915)	NA	NA	0.89 (0.754)	0.204	2.43 (1.15-5.18)	38559	NA	2640	0.0685 (0.066-0.071)	7	NA	0	   0 (   0-0.41)	NA	NA	-0.0284 (1.59)	0.985	0.972 (0.199-4.76)
Lipodystrophy (T2D and pre-diabetes)		38610	NA	22870	0.592 (0.587-0.597)	8	NA	5	0.625 (0.245-0.915)	NA	NA	0.43 (0.744)	0.537	1.54 (0.73-3.24)	38559	NA	7185	0.186 (0.182-0.19)	7	NA	1	0.143 (0.00361-0.579)	NA	NA	0.129 (0.994)	0.891	1.14 (0.421-3.07)
Neonatal diabetes (T2D)		38615	NA	18737	0.485 (0.48-0.49)	3	NA	2	0.667 (0.0943-0.992)	NA	NA	0.519 ( 1.2)	0.612	1.68 (0.507-5.57)	38566	NA	2640	0.0685 (0.066-0.071)	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neonatal diabetes (T2D and pre-diabetes)		38615	NA	22873	0.592 (0.587-0.597)	3	NA	2	0.667 (0.0943-0.992)	NA	NA	-0.0136 (1.22)	0.99	0.986 (0.29-3.36)	38566	NA	7186	0.186 (0.182-0.19)	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Yes	9498	NA	519	0.0546 (0.0502-0.0594)	16	NA	7	0.438 (0.198-0.701)	NA	NA	1.85 (0.341)	6.9e-08	6.37 (4.53-8.96)	28812	NA	1972	0.0684 (0.0656-0.0714)	24	NA	10	0.417 (0.221-0.634)	NA	NA	1.37 (0.234)	1.09e-08	3.93 (3.11-4.97)
NA	Yes	9490	NA	681	0.0718 (0.0666-0.0771)	24	NA	17	0.708 (0.489-0.874)	NA	NA	 2.9 (0.514)	3.58e-06	18.2 (10.9-30.5)	28751	NA	343	0.0119 (0.0107-0.0133)	85	NA	33	0.388 (0.284- 0.5)	NA	NA	5.93 (0.559)	2.81e-12	374 (214-654)
NA	Yes	14921	NA	3051	0.204 (0.198-0.211)	8	NA	3	0.375 (0.0852-0.755)	NA	NA	1.31 (0.526)	0.0104	3.72 (2.2-6.3)	28801	NA	5224	0.181 (0.177-0.186)	41	NA	21	0.512 (0.351-0.671)	NA	NA	1.61 (0.284)	2.26e-08	4.99 (3.75-6.63)
