Variable	Estimate	Std. Error	t value	Pr(>|t|)	Condition	restrict_lipid_meds
PC1	16.4045027270519	10.7761670073645	1.52229477474142	0.12794620822491	High LDL	TRUE
PC2	-61.5645207870069	12.6301565462688	-4.8744067867626	1.09715848311649e-06	High LDL	TRUE
PC3	2.9243081075828	16.5933659647105	0.176233569114428	0.860111687414584	High LDL	TRUE
PC4	32.060436488218	22.465858652379	1.42707372036381	0.153569480217145	High LDL	TRUE
PC5	41.6132248942326	22.3067170450205	1.86550198356157	0.0621212270546203	High LDL	TRUE
PC6	19.5481736086304	22.4515509548366	0.870682548744777	0.383934761820563	High LDL	TRUE
PC7	-16.8004228379516	23.5301327541771	-0.713996092307179	0.47523537804708	High LDL	TRUE
PC8	-23.8552338764396	23.594162490625	-1.01106508382818	0.311993768741903	High LDL	TRUE
PC9	12.0448241589771	24.3658630368677	0.494331932374086	0.621075544736182	High LDL	TRUE
PC10	17.5485803904485	24.6384420781342	0.712243912776544	0.47631951444207	High LDL	TRUE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier:prs	-15.3920482889941	7.39516050620431	-2.08136771015054	0.037409067100675	High LDL	TRUE
(Intercept)	55.5990248627487	0.531446797021186	104.61823304682	0	High HDL	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier	18.4738432126738	2.96699497087044	6.22644911570378	4.82606959679604e-10	High HDL	FALSE
prs	2.52871940185278	0.0713427495547873	35.4446586041776	2.48973840761752e-270	High HDL	FALSE
age	0.129335660491736	0.009060792347841	14.2742108555831	4.28650909994682e-46	High HDL	FALSE
SEXMale	-12.6698389888104	0.143518589272117	-88.2801249166951	0	High HDL	FALSE
PC1	10.1076618210471	4.40242165242924	2.29593224344372	0.0216857149085131	High HDL	FALSE
PC2	7.64076933471363	5.1613625331648	1.48037834692238	0.138781424948517	High HDL	FALSE
PC3	-12.2912799319915	7.0310306615933	-1.7481476789928	0.0804473418793253	High HDL	FALSE
PC4	15.5134440071255	9.16674299122705	1.69236161873116	0.0905860636228905	High HDL	FALSE
PC5	-19.4129355213333	9.06228213610786	-2.142168521104	0.0321868934269505	High HDL	FALSE
PC6	8.6660868392963	9.17242556774784	0.944797728287714	0.344768759796214	High HDL	FALSE
PC7	16.8801097933502	9.64238528249335	1.75061556853548	0.0800210279447929	High HDL	FALSE
PC8	5.54459519759638	9.64251653712557	0.575015368264976	0.565284648189912	High HDL	FALSE
PC9	9.75788060444231	9.936284547578	0.982045205903531	0.326084455544383	High HDL	FALSE
PC10	-7.77927641081898	10.0256229888965	-0.775939452284873	0.437790048859291	High HDL	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier:prs	8.29119136816381	2.56255073133438	3.23552281981414	0.00121534425300866	High HDL	FALSE
(Intercept)	87.2283101016269	3.47763219580164	25.0826726894618	1.13827269901488e-137	High triglycerides	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier	135.575544202377	12.6052788968368	10.7554577183055	6.13156757202237e-27	High triglycerides	FALSE
prs	15.3433487791805	0.468592184217622	32.7435012702961	8.76306001978673e-232	High triglycerides	FALSE
age	0.881373406101052	0.0592961804513972	14.8639153380795	7.91573716783754e-50	High triglycerides	FALSE
SEXMale	38.9698796350241	0.939291907594069	41.4885716782579	0	High triglycerides	FALSE
PC1	-106.256373409903	28.8820773957761	-3.67897267062385	0.000234512570038442	High triglycerides	FALSE
PC2	-149.71755748327	33.8325091198752	-4.42525728590781	9.66067644777715e-06	High triglycerides	FALSE
PC3	11.710625707161	45.5338301067778	0.257185167153725	0.79703728702674	High triglycerides	FALSE
PC4	-49.8677202832288	59.9062220492478	-0.832429730625201	0.40517188558116	High triglycerides	FALSE
PC5	178.015521621216	59.3228221357205	3.00079320592582	0.00269459663204939	High triglycerides	FALSE
PC6	-41.1552436431665	59.8882287529416	-0.687200882379494	0.491960524898615	High triglycerides	FALSE
PC7	-1.90436151398208	63.1717806343554	-0.0301457627893175	0.975950969080265	High triglycerides	FALSE
PC8	-36.5408118606129	63.0171539643877	-0.579855000771105	0.562015991131652	High triglycerides	FALSE
PC9	47.4319877688632	64.6980771839174	0.733128244816738	0.463484934042156	High triglycerides	FALSE
PC10	1.86034952409606	65.6243028512377	0.0283484843764854	0.977384366531342	High triglycerides	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier:prs	34.3580611941222	13.9455784294783	2.46372435305343	0.0137547686550779	High triglycerides	FALSE
(Intercept)	26.2035400833019	0.177813360956224	147.365416987719	0	Obesity	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier	2.14062743289258	0.844567096335401	2.53458540142141	0.0112619815330862	Obesity	FALSE
prs	0.775842850027282	0.0239095578437255	32.4490672348792	6.74012214871719e-228	Obesity	FALSE
age	0.0132775860063441	0.0030308091215918	4.38087173215665	1.18517936113113e-05	Obesity	FALSE
SEXMale	0.859652836729489	0.0479765588249876	17.9181845839631	1.66382442081651e-71	Obesity	FALSE
PC1	-9.28713630797066	1.47896094787716	-6.27950070034036	3.43286595700107e-10	Obesity	FALSE
PC2	2.05401262838826	1.73124165291987	1.18643900747421	0.235456308693172	Obesity	FALSE
PC3	2.3529397486648	2.31458812402734	1.01656952450388	0.309364657128564	Obesity	FALSE
PC4	-9.58853688503636	3.05768619030944	-3.13587997206018	0.001714684413699	Obesity	FALSE
PC5	3.04047379330042	3.03775265553485	1.00089577331473	0.316883501529249	Obesity	FALSE
PC6	-2.97156262049441	3.0571747363938	-0.971996328871808	0.331058491932852	Obesity	FALSE
PC7	-4.585193425221	3.23426283620261	-1.41769350774365	0.156288373274502	Obesity	FALSE
PC8	5.78234745629332	3.20988132096621	1.80142094928069	0.071644390985382	Obesity	FALSE
PC9	-0.455585431868515	3.31741664053387	-0.137331388014982	0.890769580793922	Obesity	FALSE
PC10	5.44893372123532	3.34726013942543	1.62787877077598	0.10355879037423	Obesity	FALSE
factor(Carrier, levels = c("Non Carrier", "Carrier"))Carrier:prs	0.613930677689282	0.912891687005805	0.672512069534683	0.501261802010395	Obesity	FALSE
