Condition	Restricted no lipid medications	total_Non Carrier_AMP-T2D-GENES	Mean (95% CI) Non Carrier_AMP-T2D-GENES	count_Non Carrier_AMP-T2D-GENES	prop_Non Carrier_AMP-T2D-GENES	total_Carrier_AMP-T2D-GENES	Mean (95% CI) Carrier_AMP-T2D-GENES	count_Carrier_AMP-T2D-GENES	prop_Carrier_AMP-T2D-GENES	Beta (se)_AMP-T2D-GENES_cont	P value_AMP-T2D-GENES_cont	Beta (se)_AMP-T2D-GENES_binary	P value_AMP-T2D-GENES_binary	OR_AMP-T2D-GENES	total_Non Carrier_UKBB	Mean (95% CI) Non Carrier_UKBB	count_Non Carrier_UKBB	prop_Non Carrier_UKBB	total_Carrier_UKBB	Mean (95% CI) Carrier_UKBB	count_Carrier_UKBB	prop_Carrier_UKBB	Beta (se)_UKBB_cont	P value_UKBB_cont	Beta (se)_UKBB_binary	P value_UKBB_binary	OR_UKBB
Monogenic obesity (BMI >30)		37823	28.35   (28.30-28.41)	11986	0.317 (0.312-0.322)	NA	NA	NA	NA	NA	NA	NA	NA	NA	38450	27.36   (27.31-27.41)	9164	0.238 (0.234-0.243)	NA	NA	NA	NA	NA	NA	NA	NA	NA
MODY (T2D)		38493	NA	18674	0.485 (0.48-0.49)	125	NA	65	0.52 (0.429-0.61)	NA	NA	0.221 (0.192)	0.245	1.25 (1.03-1.51)	37938	NA	2593	0.0683 (0.0658-0.0709)	628	NA	47	0.0748 (0.0555-0.0983)	NA	NA	0.108 (0.153)	0.488	1.11 (0.956-1.3)
MODY (T2D and pre-diabetes)		38493	NA	22795	0.592 (0.587-0.597)	125	NA	80	0.64 (0.549-0.724)	NA	NA	0.237 (0.205)	0.242	1.27 (1.03-1.55)	37938	NA	7056	0.186 (0.182-0.19)	628	NA	130	0.207 (0.176-0.241)	NA	NA	0.157 (0.101)	0.125	1.17 (1.06-1.3)
MODY extended (T2D)		38493	NA	18674	0.485 (0.48-0.49)	125	NA	65	0.52 (0.429-0.61)	NA	NA	0.221 (0.192)	0.245	1.25 (1.03-1.51)	37932	NA	2592	0.0683 (0.0658-0.0709)	634	NA	48	0.0757 (0.0563-0.0991)	NA	NA	0.122 (0.152)	0.429	1.13 (0.971-1.32)
MODY extended (T2D and pre-diabetes)		38493	NA	22795	0.592 (0.587-0.597)	125	NA	80	0.64 (0.549-0.724)	NA	NA	0.237 (0.205)	0.242	1.27 (1.03-1.55)	37932	NA	7053	0.186 (0.182-0.19)	634	NA	133	0.21 (0.179-0.244)	NA	NA	0.176 ( 0.1)	0.0837	1.19 (1.08-1.32)
Lipodystrophy (T2D)		38598	NA	18731	0.485 (0.48-0.49)	20	NA	8	 0.4 (0.191-0.639)	NA	NA	-0.297 (0.474)	0.518	0.743 (0.463-1.19)	38554	NA	2639	0.0684 (0.0659-0.071)	12	NA	1	0.0833 (0.00211-0.385)	NA	NA	0.743 (0.914)	0.439	2.1 (0.843-5.24)
Lipodystrophy (T2D and pre-diabetes)		38598	NA	22865	0.592 (0.587-0.597)	20	NA	10	 0.5 (0.272-0.728)	NA	NA	-0.228 (0.482)	0.628	0.796 (0.492-1.29)	38554	NA	7184	0.186 (0.182-0.19)	12	NA	2	0.167 (0.0209-0.484)	NA	NA	0.253 (0.744)	0.73	1.29 (0.612-2.71)
Neonatal diabetes (T2D)		38615	NA	18736	0.485 (0.48-0.49)	3	NA	3	   1 (0.292-   1)	NA	NA	1.81 (1.76)	0.145	6.14 (1.06-35.6)	38553	NA	2639	0.0685 (0.066-0.071)	13	NA	1	0.0769 (0.00195-0.36)	NA	NA	0.46 (0.906)	0.619	1.58 (0.64-3.92)
Neonatal diabetes (T2D and pre-diabetes)		38615	NA	22872	0.592 (0.587-0.597)	3	NA	3	   1 (0.292-   1)	NA	NA	1.17 (1.76)	0.38	3.21 (0.553-18.6)	38553	NA	7183	0.186 (0.182-0.19)	13	NA	3	0.231 (0.0504-0.538)	NA	NA	0.356 (0.657)	0.584	1.43 (0.74-2.76)
NA	Yes	8220	NA	424	0.0516 (0.0469-0.0566)	1294	NA	102	0.0788 (0.0647-0.0949)	NA	NA	0.0739 (0.0793)	0.355	1.08 (0.995-1.17)	24901	NA	1694	0.068 (0.0649-0.0712)	3935	NA	288	0.0732 (0.0652-0.0818)	NA	NA	0.0132 (0.0479)	0.783	1.01 (0.966-1.06)
NA	Yes	9508	NA	697	0.0733 (0.0681-0.0787)	6	NA	1	0.167 (0.00421-0.641)	NA	NA	1.01 (0.989)	0.336	2.75 (1.02-7.4)	28801	NA	368	0.0128 (0.0115-0.0141)	35	NA	8	0.229 (0.104-0.401)	NA	NA	4.16 ( 1.3)	0.0778	63.9 (17.4-235)
NA	Yes	12133	NA	2619	0.216 (0.209-0.223)	2796	NA	435	0.156 (0.142-0.17)	NA	NA	-0.352 (0.0422)	   0	0.704 (0.674-0.734)	23310	NA	4486	0.192 (0.187-0.198)	5532	NA	759	0.137 (0.128-0.147)	NA	NA	-0.371 (0.0332)	   0	0.69 (0.667-0.713)
